case_id,emotion,modification_type,diagnosis_correct,total_tokens,total_time,total_calls,tokens_per_second,doctor_tokens,patient_tokens,doctor_time,patient_time
case_1,calm,original,False,97934,653.0250551700592,22,149.96974346489088,50639,47295,428.93444752693176,224.09060764312744
case_1,anxious,original,False,66028,550.9783306121826,17,119.83774375779429,29785,36243,317.5315306186676,233.44679999351501
case_1,distrustful,original,False,46685,500.696293592453,22,93.24015495509089,22116,24569,343.84933519363403,156.84695839881897
case_4,calm,original,False,34317,412.72711539268494,22,83.14694799577063,17965,16352,295.9121925830841,116.81492280960083
case_4,anxious,original,False,63761,539.6029849052429,22,118.16280076952644,34252,29509,396.34140181541443,143.2615830898285
case_4,distrustful,original,True,43035,362.4590344429016,22,118.7306589450713,21738,21297,235.45393657684326,127.00509786605835
case_6,calm,original,True,29013,282.3601269721985,22,102.75175999923195,13786,15227,176.25422644615173,106.10590052604675
case_6,anxious,original,True,45403,400.65550422668457,22,113.32179271475002,23286,22117,262.8170676231384,137.83843660354614
case_6,distrustful,original,True,77012,505.98084449768066,22,152.2033903802321,36225,40787,298.13013553619385,207.85070896148682
case_1,calm,fake_symptoms_added,False,77735,657.4165005683899,22,118.24315321077549,41036,36699,455.32301211357117,202.09348845481873
case_1,anxious,fake_symptoms_added,False,66564,501.29820799827576,22,132.78323947295848,33139,33425,308.23785877227783,193.06034922599792
case_4,calm,fake_symptoms_added,False,29093,303.86731243133545,22,95.7424468173888,15227,13866,204.9603374004364,98.90697503089905
case_4,anxious,fake_symptoms_added,True,55634,355.4904978275299,17,156.4992604302786,27524,28110,216.33209013938904,139.15840768814087
case_6,calm,fake_symptoms_added,True,41145,370.8537700176239,22,110.94669469868053,18405,22740,216.2987883090973,154.5549817085266
case_6,anxious,fake_symptoms_added,True,45623,398.3752484321594,22,114.52267724853213,24467,21156,274.58459758758545,123.79065084457397
case_1,calm,symptoms_removed,False,19096,234.36503219604492,13,81.47973194237574,8514,10582,156.69352769851685,77.67150449752808
case_1,anxious,symptoms_removed,False,33018,272.57865357398987,13,121.13200930107851,15774,17244,173.16132593154907,99.4173276424408
case_4,calm,symptoms_removed,False,42974,321.16119837760925,22,133.8081941937232,24786,18188,215.8638277053833,105.29737067222595
case_4,anxious,symptoms_removed,False,90248,537.1380071640015,22,168.0164106734772,49344,40904,369.4415543079376,167.69645285606384
case_6,calm,symptoms_removed,True,58674,426.14157795906067,22,137.68663522815604,30139,28535,263.7664535045624,162.3751244544983
case_6,anxious,symptoms_removed,True,51332,458.5519163608551,22,111.94370401366842,26845,24487,311.1700575351715,147.3818588256836
